Data,Temp_media,Temp_max_atual,Temp_max_media,Temp_min_atual,Temp_min_media,Ponto_orvalho,Precipitacao,Precipitacao_Media,Nivel_do_mar,Velocidade_do_vento,Maxima_do_vent,Null
2016/1/1, 30, 38, 30, 21, 19, 13, 0.0, 6.3, 1011.87, 6, 15,
2016/1/2, 30, 36, 30, 23, 19, 16, 7.0, 6.2, 1011.52, 7, 39,
2016/1/3, 26, 31, 30, 21, 19, 18, 4.0, 6.1, 1013.78, 7, 18,
2016/1/4, 26, 31, 30, 21, 19, 19, 3.0, 6.1, 1013.77, 6, 22,
2016/1/5, 24, 28, 30, 20, 19, 19, 0.0, 6.0, 1016.65, 8, 15,
2016/1/6, 25, 30, 30, 20, 19, 18, 0.0, 5.9, 1014.71, 4, 11,
2016/1/7, 25, 29, 30, 21, 19, 20, 0.8, 5.8, 1013.25, 8, 17,
2016/1/8, 25, 28, 30, 22, 19, 21, 2.0, 5.7, 1014.46, 8, 18,
2016/1/9, 25, 29, 30, 21, 19, 20, 0.0, 5.6, 1015.67, 8, 17,
2016/1/10, 28, 33, 30, 22, 19, 17, 0.0, 5.6, 1015.38, 8, 15,
2016/1/11, 28, 34, 30, 21, 19, 17, 0.0, 5.5, 1014.35, 6, 15,
2016/1/12, 24, 28, 30, 20, 19, 20, 44.0, 5.4, 1014.22, 6, 20,
2016/1/13, 23, 26, 30, 20, 19, 20, 4.0, 5.3, 1014.44, 5, 9,
2016/1/14, 23, 27, 30, 19, 19, 20, 0.4, 5.2, 1014.04, 11, 26,
2016/1/15, 24, 28, 30, 20, 19, 21, 33.0, 5.1, 1014.30, 9, 24,
2016/1/16, 24, 26, 30, 21, 19, 22, 9.0, 5.0, 1012.54, 5, 13,
2016/1/17, 22, 23, 30, 21, 19, 21, 19.0, 5.0, 1013.04, 8, 15,
2016/1/18, 23, 25, 30, 21, 19, 21, 13.0, 4.9, 1013.00, 7, 15,
2016/1/19, 22, 24, 30, 21, 19, 21, 9.0, 4.8, 1012.32, 8, 15,
2016/1/20, 22, 25, 30, 19, 19, 21, 61.0, 4.7, 1010.81, 12, 22,
2016/1/21, 23, 27, 30, 19, 19, 20, 0.0, 4.6, 1011.67, 4, 13,
2016/1/22, 22, 25, 30, 20, 19, 20, 13.0, 4.5, 1013.35, 6, 11,
2016/1/23, 24, 31, 30, 18, 19, 18, 0.0, 4.5, 1014.23, 5, 11,
2016/1/24, 24, 29, 30, 20, 19, 20, 0.0, 4.4, 1014.92, 6, 15,
2016/1/25, 25, 29, 30, 21, 19, 21, 2.0, 4.3, 1015.59, 5, 30,
2016/1/26, 24, 29, 30, 20, 19, 21, 6.0, 4.2, 1014.05, 4, 22,
2016/1/27, 24, 27, 30, 21, 19, 21, 8.0, 4.1, 1014.42, 6, 26,
2016/1/28, 24, 26, 30, 20, 19, 21, 2.0, 4.0, 1015.83, 5, 11,
2016/1/29, 24, 29, 30, 20, 19, 19, 0.0, 3.9, 1017.14, 6, 20,
2016/1/30, 26, 31, 30, 20, 19, 16, 0.0, 3.9, 1017.61, 7, 18,
2016/1/31, 26, 31, 30, 20, 19, 16, 0.0, 3.8, 1017.59, 9, 20,
2016/2/1, 26, 32, 30, 20, 19, 18, 0.0, 3.9, 1017.77, 5, 15,
2016/2/2, 26, 33, 30, 20, 19, 18, 0.0, 3.9, 1015.33, 5, 13,
2016/2/3, 26, 32, 30, 20, 19, 18, 0.2, 3.9, 1014.71, 5, 15,
2016/2/4, 26, 32, 30, 19, 19, 17, 0.0, 3.9, 1015.17, 4, 17,
2016/2/5, 26, 31, 30, 20, 19, 17, 0.0, 3.9, 1017.00, 6, 15,
2016/2/6, 26, 32, 30, 19, 19, 17, 0.0, 3.9, 1017.43, 4, 13,
2016/2/7, 25, 31, 30, 19, 19, 18, 0.0, 3.9, 1017.04, 6, 24,
2016/2/8, 26, 32, 30, 20, 19, 16, 0.0, 3.9, 1017.52, 7, 17,
2016/2/9, 26, 32, 30, 19, 19, 16, 0.0, 3.9, 1018.33, 5, 15,
2016/2/10, 26, 33, 30, 20, 19, 16, 0.0, 4.0, 1016.61, 5, 13,
2016/2/11, 28, 35, 30, 20, 19, 15, 0.0, 4.0, 1013.65, 6, 15,
2016/2/12, 27, 32, 30, 22, 19, 19, 0.0, 4.0, 1013.10, 6, 20,
2016/2/13, 25, 28, 30, 21, 19, 20, 3.0, 4.0, 1013.95, 6, 20,
2016/2/14, 26, 31, 30, 22, 19, 20, 0.0, 4.0, 1014.00, 5, 13,
2016/2/15, 26, 32, 30, 21, 19, 19, 0.0, 4.0, 1015.73, 7, 20,
2016/2/16, 27, 34, 30, 20, 19, 17, 0.0, 4.0, 1015.57, 3, 13,
2016/2/17, 26, 33, 30, 19, 19, 15, 0.0, 4.0, 1015.35, 6, 18,
2016/2/18, 24, 29, 30, 19, 19, 15, 0.0, 4.0, 1016.24, 5, 13,
2016/2/19, 25, 31, 30, 19, 19, 15, 0.0, 4.0, 1015.24, 6, 15,
2016/2/20, 26, 32, 30, 19, 19, 17, 0.0, 4.1, 1014.62, 5, 13,
2016/2/21, 26, 32, 30, 20, 19, 18, 0.0, 4.1, 1014.67, 6, 17,
2016/2/22, 26, 32, 30, 21, 19, 16, 0.0, 4.1, 1015.41, 10, 20,
2016/2/23, 26, 32, 30, 20, 19, 16, 0.0, 4.1, 1017.42, 11, 20,
2016/2/24, 26, 32, 30, 21, 19, 17, 0.0, 4.1, 1015.61, 7, 13,
2016/2/25, 27, 34, 30, 20, 19, 17, 0.0, 4.1, 1013.96, 6, 17,
2016/2/26, 28, 34, 30, 21, 19, 16, 0.0, 4.1, 1014.32, 7, 13,
2016/2/27, 28, 34, 30, 21, 19, 17, 0.0, 4.1, 1015.86, 7, 15,
2016/2/28, 28, 34, 30, 21, 19, 17, 0.0, 4.1, 1016.09, 7, 15,
2016/2/29, 28, 35, 30, 21, 19, 17, 0.0, 4.1, 1015.13, 6, 15,
2016/3/1, 27, 33, 30, 21, 19, 16, 0.0, 4.1, 1015.92, 8, 22,
2016/3/2, 27, 33, 30, 21, 19, 15, 0.0, 4.0, 1015.83, 9, 22,
2016/3/3, 26, 32, 30, 20, 19, 17, 0.0, 3.9, 1015.00, 5, 13,
2016/3/4, 28, 33, 30, 22, 19, 18, 0.0, 3.8, 1013.43, 6, 18,
2016/3/5, 25, 29, 30, 21, 19, 19, 0.2, 3.7, 1015.91, 6, 22,
2016/3/6, 27, 32, 30, 22, 19, 21, 11.0, 3.6, 1016.12, 6, 26,
2016/3/7, 26, 31, 30, 22, 19, 19, 0.0, 3.5, 1015.88, 6, 15,
2016/3/8, 26, 31, 30, 21, 18, 17, 0.0, 3.4, 1015.59, 7, 15,
2016/3/9, 26, 32, 30, 20, 18, 16, 0.0, 3.3, 1014.82, 8, 20,
2016/3/10, 26, 33, 30, 19, 18, 16, 0.0, 3.2, 1014.29, 5, 13,
2016/3/11, 26, 32, 30, 21, 18, 18, 0.0, 3.1, 1014.77, 6, 18,
2016/3/12, 24, 28, 30, 20, 18, 20, 0.0, 3.0, 1016.74, 6, 15,
2016/3/13, 26, 31, 30, 22, 18, 20, 0.0, 3.0, 1017.10, 6, 15,
2016/3/14, 26, 31, 30, 22, 18, 17, 0.0, 2.9, 1018.05, 9, 22,
2016/3/15, 26, 31, 30, 20, 18, 16, 0.0, 2.8, 1018.86, 8, 18,
2016/3/16, 26, 30, 29, 22, 18, 16, 0.0, 2.7, 1018.75, 10, 20,
2016/3/17, 26, 30, 29, 21, 18, 16, 0.0, 2.6, 1018.00, 10, 18,
2016/3/18, 26, 32, 29, 19, 18, 17, 0.0, 2.5, 1017.04, 6, 13,
2016/3/19, 26, 33, 29, 20, 18, 17, 0.0, 2.4, 1015.86, 5, 13,
2016/3/20, 26, 32, 29, 20, 18, 17, 0.0, 2.3, 1016.05, 6, 17,
2016/3/21, 26, 31, 29, 21, 18, 17, 0.0, 2.2, 1016.90, 8, 17,
2016/3/22, 26, 33, 29, 20, 18, 16, 0.0, 2.1, 1016.48, 5, 11,
2016/3/23, 27, 34, 29, 20, 17, 16, 0.0, 2.0, 1014.25, 4, 13,
2016/3/24, 28, 34, 29, 22, 17, 18, 0.0, 1.9, 1014.43, 6, 20,
2016/3/25, 28, 33, 29, 23, 17, 18, 0.0, 1.8, 1015.32, 6, 17,
2016/3/26, 28, 33, 29, 22, 17, 17, 0.0, 1.8, 1016.90, 6, 15,
2016/3/27, 27, 32, 29, 22, 17, 17, 0.0, 1.7, 1016.95, 5, 18,
2016/3/28, 26, 33, 29, 19, 17, 14, 0.0, 1.6, 1016.83, 7, 18,
2016/3/29, 26, 32, 29, 20, 17, 16, 0.0, 1.5, 1017.67, 4, 15,
2016/3/30, 26, 32, 29, 19, 17, 15, 0.0, 1.4, 1018.55, 6, 17,
2016/3/31, 26, 31, 29, 20, 17, 16, 0.0, 1.3, 1018.68, 6, 20,
2016/4/1, 26, 32, 29, 19, 17, 16, 0.0, 1.4, 1016.67, 5, 17,
2016/4/2, 26, 32, 29, 19, 17, 16, 0.0, 1.3, 1015.61, 4, 13,
2016/4/3, 26, 33, 29, 19, 17, 16, 0.0, 1.3, 1015.95, 4, 15,
2016/4/4, 26, 33, 29, 19, 17, 17, 0.0, 1.3, 1017.45, 5, 15,
2016/4/5, 26, 32, 29, 20, 17, 16, 0.0, 1.2, 1018.00, 7, 20,
2016/4/6, 26, 32, 29, 20, 17, 15, 0.0, 1.2, 1016.56, 5, 17,
2016/4/7, 26, 33, 29, 18, 17, 15, 0.0, 1.2, 1014.63, 5, 17,
2016/4/8, 27, 34, 29, 20, 16, 14, 0.0, 1.1, 1013.45, 4, 9,
2016/4/9, 26, 34, 29, 19, 16, 14, 0.0, 1.1, 1014.10, 5, 17,
2016/4/10, 26, 33, 29, 18, 16, 13, 0.0, 1.1, 1014.06, 6, 18,
2016/4/11, 26, 33, 29, 18, 16, 13, 0.0, 1.1, 1016.00, 6, 22,
